	competition	time	infogain	freq_optimal_allele	infogain_asymptote	subload	growth_rate_optimal_allele	growth_rate_population	subload-infogain
0	2A-1	0	0.0	0.6063724983811757	0.7217237723625761	0.0	0.0	0.0	0.0
0	2A-1	4	0.06487963581767173	0.7485256814292713	0.7217237723625761	0.29227660095055175	1.7912224559048806	1.7181533056672427	0.22739696513288002
0	2A-1	8	0.16615534311113517	0.8276778192070602	0.7217237723625761	0.4412138772012453	2.041931518671919	2.0046971996092458	0.2750585340901101
0	2A-1	12	0.2634198271785473	0.8783266248874849	0.7217237723625761	0.5319465505914236	2.1669038042302415	2.144220635882697	0.2685267234128763
0	2A-1	16	0.3801826013336442	0.923666828208856	0.7217237723625761	0.601816276163512	2.1278721970257455	2.1104047656327234	0.2216336748298678
0	2A-1	20	0.46881427065829584	0.95063803243892	0.7217237723625761	0.6495070022360308	2.1576664323374684	2.1457437508193387	0.1806927315777349
0	2A-1	24	0.543622549158263	0.9694493924708176	0.7217237723625761	0.6784932133530237	1.9717401195448403	1.964493566765592	0.13487066419476068
0	2A-1	28	0.6044104770052854	0.982295601070717	0.7217237723625761	0.6960692824803321	2.134668581419072	2.130274564137245	0.09165880547504668
0	2A-1	32	0.6461114397745528	0.9898243142396832	0.7217237723625761	0.7059325282278781	2.0123777195814267	2.0099119081445402	0.059821088453325344
0	2A-1	36	0.6622587184608744	0.992434700377178	0.7217237723625761	0.7129553660396386	2.4041714546912853	2.4024157452383452	0.05069664757876424
0	2A-2	0	0.0	0.3370288314408866	1.5690560815288999	0.0	0.0	0.0	0.0
0	2A-2	4	0.06413181789355604	0.4817097049135012	1.5690560815288999	0.5196444245096128	1.8823297498680616	1.7524186437406584	0.45551260661605675
0	2A-2	8	0.19694382099573188	0.5930317560619014	1.5690560815288999	0.8362105834522007	2.00510171342529	1.9259601736896432	0.6392667624564687
0	2A-2	12	0.4479422319025114	0.7232496767680345	1.5690560815288999	1.111207783813362	2.3106864839448296	2.241937183854539	0.6632655519108506
0	2A-2	16	0.6687324744297338	0.8056036031799877	1.5690560815288999	1.2633804900770391	2.072473290552713	2.0344301139867937	0.5946480156473053
0	2A-2	20	0.8795583147125916	0.8686063768671007	1.5690560815288999	1.3828709394597274	2.1001314075112627	2.0702587951655906	0.5033126247471358
0	2A-2	24	1.0501148793057675	0.9112428589153644	1.5690560815288999	1.4599123320185194	1.9952803742573078	1.9760200261176097	0.4097974527127519
0	2A-2	28	1.234359065128398	0.9500963830974484	1.5690560815288999	1.508935216952799	2.1939455937886945	2.1816898725551246	0.274576151824401
0	2A-2	32	1.3517670175373067	0.9710610514267878	1.5690560815288999	1.5435790842079875	2.00492194032693	1.996260973513133	0.19181206667068085
0	2A-2	36	1.4520887118165262	0.9864163822525596	1.5690560815288999	1.563550675701098	2.2744708093739465	2.269477911500669	0.11146196388457175
0	2A-3	0	0.0	0.1860992484061729	2.4258558660506244	0.0	0.0	0.0	0.0
0	2A-3	4	0.05120245326449771	0.2964026319690144	2.4258558660506244	0.6339739867879874	2.1760457326610267	2.01755223596403	0.5827715335234898
0	2A-3	8	0.15654018063005531	0.385948778141468	2.4258558660506244	1.0292824544014199	1.977917574128402	1.879090457225044	0.8727422737713646
0	2A-3	12	0.3827289285243683	0.5098568323214152	2.4258558660506244	1.4319976408196453	2.2528703078590184	2.152191511254462	1.049268712295277
0	2A-3	16	0.7155903863226382	0.6395870736086177	2.4258558660506244	1.760412825946629	2.2119520541865194	2.1298482579047735	1.044822439623991
0	2A-3	20	1.0789396580474722	0.7490720330846589	2.4258558660506244	1.9988852076557908	2.1694278452085385	2.109809749781248	0.9199455496083186
0	2A-3	24	1.482578699744082	0.8469398420274636	2.4258558660506244	2.152816306442194	2.058787898866852	2.0203051241702514	0.6702376066981119
0	2A-3	28	1.7371271538890052	0.8987037458172249	2.4258558660506244	2.253494334550002	2.1382786827514133	2.1131091757244613	0.5163671806609966
0	2A-3	32	1.9765508976273438	0.940960077192136	2.4258558660506244	2.3217834559500954	2.02490379150512	2.0078315111550964	0.34523255832275157
0	2A-3	36	2.1688773703157347	0.9701786166462144	2.4258558660506244	2.3638791527506324	2.300203908065461	2.2896799838653266	0.19500178243489774
0	2B-1	0	0.0	0.6293277760131392	0.6681164757783156	0.0	0.0	0.0	0.0
0	2B-1	4	0.1690394409707921	0.8478065849133959	0.6681164757783156	0.43094077547585385	1.904535162865619	1.7967999689966556	0.26190133450506176
0	2B-1	8	0.39989003491281727	0.9441103318926852	0.6681164757783156	0.5975280029258787	2.004381589003444	1.962734782140938	0.19763796801306144
0	2B-1	12	0.5743311655176413	0.986333279783352	0.6681164757783156	0.6580975037909091	2.2790121111818054	2.2638697359655477	0.08376633827326785
0	2B-1	16	0.6144716339050378	0.9931845621730078	0.6681164757783156	0.6708307302597287	2.0470961535081735	2.0439128468909686	0.05635909635469094
0	2B-1	20	0.6464489556419254	0.9977059969737152	0.6681164757783156	0.6762492064501906	2.1403992823451348	2.1390446632975193	0.029800250808265205
0	2B-1	24	0.6550470190430506	0.9987311695868624	0.6681164757783156	0.6773287234397021	2.064988393676255	2.0647185144288773	0.022281704396651447
0	2B-1	28	0.6439509847660109	0.9973900229585592	0.6681164757783156	0.6776905354699334	2.1440028998528016	2.1439124468452437	0.03373955070392254
0	2B-1	32	0.657725984291298	0.99902750313746	0.6681164757783156	0.6778246635122827	2.0581604189887246	2.0581268869781373	0.020098679220984628
0	2B-1	36	0.6593887048703502	0.9992047400359658	0.6681164757783156	0.6777734168269127	2.2545944527598714	2.254607264431214	0.01838471195656255
